objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,credit,exhibitionlabel
"Trustees,-etc---10",K.S.-Day.jpg,,,Katharine Seymour Day ,,1956 .,,,,,,,The Mark Twain House & Museum,"Trustees, etc. -10",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
"Trustees,-etc---31",Trustees--etc.--31.jpg,,,Miss Elizabeth McSherry in schoolroom formerly her living room,Hartford Courant ,1974,,,,,,,The Mark Twain House & Museum,"Trustees, etc. -31",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Twain-Carpenter-Range-reconst--017,Twain-Carpenter-Range-reconst.-017.jpg,,,Restoration work in Kitchen/Servant's Wing,,,,,,,,,The Mark Twain House & Museum,Twain Carpenter Range reconst. 017,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
"Twichell,-J-H---2-",Twichell--J.H.--2.jpg,,,Joseph Twichell,,c. 1880,,,,,,,The Mark Twain House & Museum,"Twichell, J.H. -2 ",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ","The Mark Twain House & Museum. Gift of NBC, 1960. ",
Visitor-Center--1-Groo-2011,Visitor-Center--1-Groo-2011.jpg,,,Visitor Center ,John Groo,2011,,,,,,,The Mark Twain House & Museum,Visitor Center -1 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
Visitor-Center--2-Groo-2011,Visitor-Center--2-Groo-2011.jpg,,,Visitor Center for The Mark Twain House & Museum,John Groo,2011,,,,,,,The Mark Twain House & Museum,Visitor Center -2 Groo 2011,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum. Photo by John Groo. ,
Visitors--37b,Visitors--37b.jpg,,,Visitors to the Mark Twain House in the 1970s,,1970s,,,,,,,The Mark Twain House & Museum,Visitors -37b,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
Walter-Schwinn-&-Hal-in-Front-Hall--1967,Walter-Schwinn---Hal-in-Front-Hall.1967.tif,,,Walter K. Schwinn and Hal Holbrook,,1967,,,,,,,The Mark Twain House & Museum,Walter Schwinn & Hal in Front Hall. 1967,Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum Institutional Archives,
"Warner,-C-D---1",Warner--C.D.--1.jpg,,,Charles Dudley Warner,,1880,,,,,,,The Mark Twain House & Museum,"Warner, C.D. -1",Image;StillImage,image/jpeg,eng,Public domain,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reproductions. ",The Mark Twain House & Museum collections,
,,,,Page of Backlog Studies,Charles D Warner,,"Page from Backlog Studies. On the middle of the top there is a number 14, suggesting it is page 14. Stamped 3/4 down from top is ""from 'Backlog Studies'"" the paper is lined from top to bottom and is written in script. There is tape holding the right side onto the base of the paper, and the right side is brown and damaged. A 1"" corner is missing fom the bottom right side. The back is blank.",Cultural;Arts;Writing;Econimic;Industry;Printing,Charles D Warner,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
,,,,2 Pages of The Guilded Age,Charles D Warner,,"2 pages of ""The Guilded Age. Page 316 and 317. Hand written on brown paper. The back of each is blank. Each page is 6"" x 4 1/2"". The top of 317, and the bottom of 316 have a diagonal going upwards from let to right on the top and bottom respectivly. There is a large ink drip on the back of page 317 in the middle 1/3 of the page. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Charles D Warner,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
,,,,The Guilded Age outline 2 pages,Charles D Warner,,"2 pages of the outline of The Guilded age. The pages are hand written and the writing is faded, making it difficult to read. Both pages are 8"" x 5"". There is nothing on the back of them, and there is a slight tear 3 1/2"" from bottom of 1st page aprox 1cm long. ",Cultural;Arts;Writing;Econimic;Industry;Printing,Charles D Warner,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
,,,,12 pages of Into The Levant,Charles D Warner,,"12 pages of ""Into the Levant"" All pages are 8 3/4"" x 5 1/2"" and are hand written. Page 571 has some blue pen marings in top right corner ""237 flower""? Back is blank. 572 has blue pen mark on bottom insering the words ""of New York"" back is blank, 573 has no alterations, 574 has ""however"" underlined in pencil before second paragraph, back is blank, 575 has noticable finger print 1/2 down page on right side and mirrored on back. 576 has more noticable bleading onto the back than the others. 577 has ""di"" added in blue ink, and has crossed off writing on the back. 580 has a few blue ink marks on second 1/2 of page, back is blank. 583 is un altered, back is blank. 585 has a lot of smudging on front and back, but back is blank. 588 again has a lot of smudging and blue ink writing in the middle of page, back is blank. 589 has the worst smudging, and quite a bit of blue ink writing. There is also evidence of where a paperclip was once attached to this page at the top",Cultural;Arts;Writing;Econimic;Industry;Printing,Charles D Warner,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Lois Bliss",
,,,,3 pages of Their Pilgrimadge,Charles D Warner,,"3 pages of ""Their Pilgrimadge"" all pages are hand written in blue ink. All pages are 9"" x 5 3/4"". Pages are in good condition, and readable. Pages 190-193.",Cultural;Arts;Writing;Econimic;Industry;Printing,Charles D Warner,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,"The Mark Twain House & Museum, Gift of Lois Bliss",
,,,,Autograph album,,,"Small red velvet book with the word ""album"" attached in metal to the top. 5 1/4"" x 3"" x 1"" filled with various signatures and dates. ",Social;Personal Relationships;Friends;Family,,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
,,,,Autograph album,,,"Small red velvet book 5 1/4"" x 3"" x 1"" filled with various signatures and dates",Social;Personal Relationships;Friends;Family,,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
,,,,Beaded Bracelet,,,"Small beaded bracelet consisting of 17 ""gold"" beads and 3 ""pearls"". Envelope is dated Jan 13th 1886, and describes that ""Lady Jane Grey"" (Clara Clemens) wore it at the third ""Prince & Pauper""",Social;Personal;Family;Friends;Cultural;Arts;Performance Art;Theatre;Fashion;Adornment,Clara Clemens,,,,Mark Twain House and Museum,,Image;StillImage,image/jpeg,eng,"Each contributing institution has their own guidelines and rules for use of their collections. The institution is listed as the source of the item. Please contact the individual institution for their terms of use, or reproduction fees, or terms for reprod",,The Mark Twain House and Museum collections,
